,books,authors
0,To Kill a Mockingbird, Harper Lee 
1,One Hundred Years of Solitude, Gabriel García Márquez 
2,In Cold Blood, Truman Capote
3,Wide Sargasso Sea, Jean Rhys
4,Brave New World, Aldous Huxley
5,I Capture The Castle, Dodie Smith
6,Jane Eyre, Charlotte Bronte
7,Crime and Punishment, Fyodor Dostoevsky
8,The Secret History, Donna Tartt
9,The Call of the Wild, Jack London
10,The Chrysalids, John Wyndham 
11,Persuasion, Jane Austen
12,Moby-Dick, Herman Melville
13,"The Lion, the Witch and the Wardrobe", C.S. Lewis 
14,To the Lighthouse, Virginia Woolf
15,The Death of the Heart, Elizabeth Bowen
16,Tess of the d'Urbervilles, Thomas Hardy
17,Frankenstein, Mary Shelley
18, The Master and Margarita, Mikhail Bulgakov
19,The Go-Between, L. P. Hartley
20,One Flew Over the Cuckoo's Nest, Ken Kesey
21,Nineteen Eighty-Four, George Orwell
22,Buddenbrooks, Thomas Mann
23,The Grapes of Wrath, John Steinbeck 
24,Beloved, Toni Morrison
25,The Code of the Woosters, P. G. Wodehouse
26,Dracula, Bram Stoker
27,The Lord of the Rings, J. R. R. Tolkien
28,The Adventures of Huckleberry Finn, Mark Twain 
29,Great Expectations, Charles Dickens 
30,Catch-22, Joseph Heller 
31,The Age of Innocence, Edith Wharton
32,Things Fall Apart, Chinua Achebe
33,Middlemarch, George Eliot
34,Midnight's Children, Salman Rushdie
35,The Iliad, Homer
36,Vanity Fair, William Makepeace Thackeray
37,Brideshead Revisited, Evelyn Waugh
38,The Catcher in the Rye, J.D. Salinger 
39,Alice’s Adventures in Wonderland, Lewis Carroll 
40,The Mill on the Floss, George Eliot
41,Barchester Towers, Anthony Trollope
42,Another Country, James Baldwin
43,Les Miserables, Victor Hugo
44,Charlie and the Chocolate Factory, Roald Dahl
45,The Outsiders, S. E. Hinton
46,The Count of Monte Cristo, Alexandre Dumas
47,Ulysses, James Joyce
48,East of Eden, John Steinbeck
49,The Brothers Karamazov, Fyodor Dostoyevsky
50,Lolita, Vladimir Nabokov
51,The Secret Garden, Frances Hodgson Burnett
52,Scoop, Evelyn Waugh
53,A Tale of Two Cities, Charles Dickens
54,Diary of a Nobody, George and Weedon Grossmith
55,Anna Karenina, Leo Tolstoy
56,The Betrothed, Alessandro Manzoni
57,Orlando, Virginia Woolf
58,Shrugged, Ayn Rand
59,The Time Machine, H. G. Wells
60,The Art of War, Sun-Tzu
61,The Forsyte Saga, John Galsworthy
62,Travels with Charley, John Steinbeck
63,Tropic of Cancer, Henry Miller
64,Women in Love, D. H. Lawrence
65,Staying On, Paul Scott
66,The Wind in the Willows, Kenneth Grahame
67,My Ántonia, Willa Cather
68,Wuthering Heights, Emily Brontë
69,Perfume, Patrick Süskind
70,War and Peace, Leo Tolstoy 
71,Of Human Bondage, Somerset Maugham
72,Bleak House, Charles Dickens
73,Lost Illusions, Honoré de Balzac
74,Breakfast of Champions, Kurt Vonnegut
75,A Christmas Carol, Charles Dickens 
76,Silas Marner, George Eliot 
77,Mrs Dalloway, Virginia Woolf
78,Little Women, Louisa May Alcott
79,"The Sea, The Sea", Iris Murdoch
80,The Godfather, Mario Puzo
81,The Castle, Franz Kafka
82,"I, Claudius", Robert Graves
83,Peter Pan, J.M. Barrie
84,A Confederacy of Dunces, John Kennedy Toole
85,The Razor's Edge, W. Somerset Maugham
86,Lark Rise to Candleford, Flora Thompson
87,Return of the Native, Thomas Hardy
88,A Portrait of the Artist as a Young Man, James Joyce
89,Heart of Darkness, Joseph Conrad
90,North and South, Elizabeth Gaskell
91,The Handmaid's Tale, Margaret Atwood
92,Suite Francaise, Irene Nemirovsky
93,One Day in the Life of Ivan Denisovich, Alexander Solzhenitsyn
94,What A Carve Up!, Jonathan Coe
95,Zen and the Art of Motorcycle Maintenance, Robert Pirsig
96,White Nights, Fyodor Dostoyevsky
97,Hard Times, Charles Dickens
